111;M. Coracobrachialis ;;Art. Humeri;Processus coracoideus scapulae.;Medialt på humerus mellersta tredjedel.;Horisontaladduktion i art. Humeri. Adduktion i art. Humeri. Flexion i art. Humeri. Anteflexion i art. Humeri. Förhindra nedåtglidning av caput humeri. Utåtrotation i art. Humeri från ett inåtroterat läge. Inåtrotation i art. Humeri från ett utåtroterat läge.;;;;C6-C7 N. Musculocutaneus Pl. Brachialis;Triggerpunkt ger smärtor längs hela armens baksida med undantag av armbåge och handled. Den ger även smärtor till ut-/framsida axel och i långfingret;
112;M. Brachioradialis;;;Proximala halvan av margo lateralis humeri. Septum intermusculare laterale.;Processus styloideii radii;Flexion i art. Cubiti. Semipronation från supinerat läge av underarmen. Semisupination från pronerat läge av underarmen.;;;;C5-C6 N. Radialis Pl. Brachialis;Drabbas ofta av överbelastningssymptom. Triggerpunkter i muskeln ger smärta i armbågen och ut i området mellan och pekfingret.;
113;M. Extensor carpi radialis longus;;;Margo lateralis humeri distalt. Epicondyus lateralis humeri.;Dorsalt basis ossis metacarpale 2.;Dorsalflexion i art. Radiocarpea. Radialflexion i art. Radiocarpea. Flexion i art. Cubiti;;;;C5-C8 N. Radialis Pl. Brachialis.;Ger smärta vid sitt ursprung på den laterala epicondylen i form av lateral humerusepicondylit eller epicondalgi. Triggerpunkter ger smärta över laterala epicondylen och handryggen vid tummens bas.;
114;M. Extensor carpi radialis brevis;;;Epicondylus lateralis humeri. Lig. Annulare radii. Fascia antebrachii.;Dorsalt basis ossis metacarpale 3.;Dorsalflexion i art. Radiocarpea. Lätt radialflexion i art. Radiocarpea. Flexion i art. Cubiti;;;;C5-C8 N. Radialis Pl. Brachialis.;smärta vid sitt ursprung, på den laterala epicondylen i form av lateral humerusepicondylit.;
115;M. Pronator teres;<li>Caput humerale</li><Caput ulnare</li>;;Caput humerale:<br>Epicondylus medialis humeri. Fascia antebrachii.<br><br>Caput ulnare:<br>Processus coronoideus ulnae.;Dorsolateralt på radius mellersta 1/3-del.;Pronation av underarmen. Flexion i art. Cubiti.;;;;C6-C7 N. Medianus Pl. Brachialis ;Triggerpunkter ger smärta till radiala handleden och tumroten.;
116;M. Flexor carpi radialis;;;Epicondylus medialis humeri. Fascia antebrachii.;Palmart basis ossis metacarpale 2(3).;Flexion i art. Radiocarpea. Radialflexion i art. Radiocarpea. Flexion i art. Cubiti. Pronation av underarmen.;;;;C6-C8 N. Medianus Pl. Brachialis;Triggerpunkter i muskeln ger bland annat smärtor över canalis carpi.;
117;M. Palmaris longus;;;Epicondylus medialis humeri. Fascia antebrachii.;Aponeurosis palmaris.;Flexion i art. Radiocarpea. Flexion i MCP 2-5. Flexion i art. Cubiti.;;;;C(6)7-Th1 N. Medianus Pl. Brachialis.;En degenerativ förändring av palmaraponeurosen kan leda till att metacarpofalangeallederna hamnar i ett konstant flekterat läge kallat Dupuytrens kontraktur. Triggerpunkter ger smärta i handflatan.;
118;M. Flexor digitorium superficialis;<li>Caput humeroulnare</li><li>Caput radiale</li>;;Caput humeroulnare:<br>Epicondylus medialis humeri. Processus coronoideus. Septa intermuscularia.<br><br>Caput radiale:<br>Facies anterior radii. Margo anterior radii.<br><br>;Lateralt palmart phalanx media digiti 2-5;Palmarflexion i art. Radiocarpea. Ulnarflexion i art. Radiocarpea. Flexion i MCP 2-5. Flexion i PIP 2-5. Flexion i art. Cubiti.;;;;C7-Th1 N. Medianus Pl. Brachialis.;Triggerpunkter beskrivs som om smärtan skjuts ut ur fingertopparna.;
119;M. Flexor carpi ulnaris;;;Epicondylus medialis humeri. Margo posterior ulnaes proximala 2/3-del. Fascia antebrachii.;Os pisiforme. Via lig. Pisohamatum till os hamatum. Lig. Pisometacarpeum till basis ossis metacarpale 5.;Flexion i art. Radiocarpea. Flexion i art. Cubiti. Ulnarflexion i art. Radiocarpea.;;;;C7-Th1 N. Ulnaris Pl. Brachialis.;Triggerpunkter smärtor till handledens ulnara sida.;
120;M. Flexor pollicis longus;<li>Caput radiale</li><li>Caput humerale</li>;;Caput radiale:<br>Facies anterior radii proximala 2/3-del. Fascia antebrachii.<br><br>Caput humerale:<br>Epicondylus medialis humeri.;Palmart phalanx distalis digiti 1 (pollux).;Flexion i MCP 1. Flexion i DIP 1. Flexion i art. Radiocarpea. Flexion i art. Cubiti.;;;;C(6)7-Th1 N. Medianus Pl. Brachialis.;;
121;M. Pronator quadratus;;;Distala 1/4-delen på margo anterior ulna.;Margo anterior radii. Facies anterior radii distalt.;Pronation av underarmen. Fixerar radius mot ulnae.;;;;C7-Th1 N. Medianus Pl. Brachialis.;;
122;M. Flexor digitorum profundus ;;;Facies anterior ulna. Membrana interossea antebrachii.;Palmart phalanx distalis digiti 2-5.;Flexion i art. Radiocarpea. Flexion i MCP 2-5. Flexion i PIP 2-5. Flexion i DIP 2-5.;;;;C7-Th1 N. Medianus och N. Ulnaris Pl. Brachialis.;"Triggerpunkter ger smärtor ut i och ""förbi"" de tre ulnara fingrarna.";
123;M. Extensor digitorum;;;Epicondylus lateralis humeri. Fascia antebrachii.;Basis ossis phalangea digiti 2-5 via dorsalaponeuroserna.;Extention i art. Radiocarpea. Ulnarflexion i art. Radiocarpea. Extention i MCP 2-5. Extention i PIP 2-5. Extention i DIP 2-5.;;;;C6-C8 N. Radialis Pl. Brachialis.;Triggerpunkter ger smärta ut i laterala epicondilen och lång- eller ringfinger.;
124;M. Extensor digiti minimi;;;Epicondylus lateralis humeri. Fascia antebrachii.;Digiti 5 via dorsalaponeurosen.;Dorsalflexion i art. Radiocarpea. Ulnarflexion i art. Radiocarpea. Extention i MCP 5. Extention i PIP 5. Extention i DIP 5.;;;;C6-C8 N. Radialis Pl. Brachialis.;;
125;M. Extensor carpi ulnaris;;;Epicondylus lateralis humeri. Fascia antebrachii.;Dorsalt basis ossis metacarpale 5. ;Extention i art. Radiocarpea. Ulnarflexion i art. Radiocarpea.;;;;C6-C8 N. Radialis Pl. Brachialis.;Triggerpunkter ger smärta till handledens ulnara sida.;
126;M. Supinator;;;Epicondylus lateralis humeri. Lig. Collaterale radiale. Lig. Annulare radii. Crista musculi supinatorius ulnae.;Facies anterior radii. Margo anterior radii. Margo posterior radii.;Supination av underarm. Flexion i art. Cubiti.;;;;C5-C6 N. Radialis Pl. Brachialis.;Triggerpunkter ger smärta över den laterala epicondylen och dorsalt över vinkeln mellan tumme och pekfinger;
127;M. Abductor pollicis longus;;;Facies posterior ulnae. Facies posterior radii. Membrana interossea antebrachii.;Basis ossis metacarpale 1 (pollicis).;Abduktion i CMC 1. Radialflexion  i art. Radiocarpea. Supination av underarmen.;;;;C6-C8 N. Radialis Pl. Brachialis.;;
128;M. Extensor pollicis brevis;;;Facies posterior radii. Membrana interossea antebrachii.;Dorsalt på basen av phalanx proximalis digiti 1.;Extention i MCP 1. Radialflexion i art. Radiocarpea.;;;;C6-C8 N. Radialis Pl. Brachialis.;;
129;M. Extensor indicis;;;Facies posterior ulnae. Membrana interossa antebrachii.;Digiti 2 dorsalaponeurosen.;Extention i art. Radiocarpea. Extention i MCP 2. Extention i PIP 2 via dorsalaponeurosen. Extention i DIP 2 via dorsalaponeurosen.;;;;C6-C8 N. Radialis Pl. Brachialis.;;
130;M. Extensor pollicis longus;;;Facies posterior ulnae. Membrana interossa antebrachii.;Dorsalt phalanx distalis digiti 1 (pollicis);Extention i MCP 1. Extention i DIP 1. Abduktion i CMC 1. Dorsalflexion i art. Radiocarpea.;;;;C6-C8 N. Radialis Pl. Brachialis.;;
131;M. Abductor pollicis brevis ;;;Retinaculum flexorum. Tuberositas ossis scaphoideii.;Phalanx proximalis på radiala sesambenet.;Abduktion i CMC 1. Opposition i CMC 1. Flexion i MCP 1.;;;;C6-Th1 N. Medianus Pl. Brachialis.;;
132;M. Opponens pollicis;;;Retinaculum flexorum. Tuberculum ossis trapezii.;Radiala sidan av os metacarpale 1.;Opposition i CMC 1.;;;;C6-Th1 N. Medianus Pl. Brachialis.;;
133;M. Flexor pollicis brevis;<li>Caput superficialis</li><li>Caput profundum</li>;;Caput superficialis:<br>Retinaculum flexorum. Os trapezium..<br><br>Caput profundum:<br>Basis ossis metacarpale 1. Os trapezium. Os capitatum.;Radialt phalanx proximalis.;Opposition i CMC 1. Adduktion i MCP 1. Flexion i MCP 1.;;;;C6-Th1 N. Ulnaris Pl. Brachialis.;;
134;M. Adductor pollicis;<li>Caput transversum</li><li>Caput obliquum</li>;;Caput transversum:<br>Basis ossis metacarpale 2 & 3.<br><br>Caput obliquum:<br>Os metacarpale 3.;Phalanx proximalis digiti 1.;Adduktion i CMC 1. Opposition i CMC 1. Flexion i MCP 1.;;;;C8-Th1 N. Ulnaris Pl. Brachialis;;
135;M. Abductor digiti minimi;;;Os pisiforme.;Lillfingrets dorsalaponeuros.;Opposition i CMC 5. Abduktion i MCP 5. Extention i PIP 5. Extention i DIP 5.;;;;C(7)-Th1 N. Ulnaris Pl. Brachialis;;
136;M. Flexor digiti minimi brevis;;;Retinaculum flexorum. Hamulus ossis hamati.;Basen på lillfingrets proximala falang.;Opposition i CMC 5. Flexion i MCP 5.;;;;C(7)-Th1 N. Ulnaris Pl. Brachialis;;
137;M. Opponens digiti minimi;;;Retinaculum flexorum. Hamulus ossis hamati.;Os metacarpale 5.;Opposition i CMC5.;;;;C(7)-Th1 N. Ulnaris Pl. Brachialis;;
138;Mm. Lumbricales;;;Radialsidan av M. Flexor digitorum profundus fästessenor.;Dorsalaponeuroserna digiti 2-5.;Flexion i MCP 2-5. Extention i PIP 2-5. Extention i DIP 2-5.;;;;I & II: C(6)7-Th1 N. Medianus Pl. Brachialis. III & IV: C(7)8-Th1 N. Ulnaris Pl. Brachialis.;;
139;Mm. Interossei palmares;;;Os metacarpale 2, 4 & 5.;Dorsalaponeuroserna 2, 4 & 5.;Flexion i MCP 2, 4 & 5. Adduktion mot digiti 3 i MCP. Extention i PIP. Extention i DIP.;;;;C8-Th1 N. Ulnaris Pl. Brachialis.;Triggerpunkter i muskeln ger smärtor ut i pekfingret.;
140;Mm. Interossei dorsales;;;De två mot varandra vettande ytorna av två metacarpalben.;Dorsalaponeuroserna digiti 2-5.;Flexion i MCP 2-4. Abduktion i MCP 2,4. Ulnar-/radialdeviation i MCP 3. Extention i PIP 2-5. Extention i DIP 2-5;;;;C8-Th1 N. Ulnaris Pl. Brachialis.;Triggerpunkter smärtor i fingrarna. Det finns samband mellan triggerpunkter i interosserna och förhårdnader på fingrarna, kända som Heberdens noder.;
