11;M. Longissimus - Sacrospinala systemet;<li>M. Longissimus capitis</li><li> M. Longissimus cervicis</li><li>M. Longissimus thoracis</li>;thoracis cervicis, capitis (tjockast);M. Longissimus capitis:<br>Processus transversus Th1-Th2. Processus articularis C4-C7.<br><br>M. Longissimus cervicis:<br>Processus tranvsersus Th3-Th6.<br><br>M. Longissimus thoracis:<br>Facies dorsalis ossis sacri. Crista iliaca labium externum.;M. Longissimus capitis:<br>Processus mastoideus posteriora del.<br><br>M. Longissimus cervicis:<br>Processus tranversus (C5)C6-C7 (tubercula posteriora).<br><br>M. Longissimus thoracis:<br>Fäste mediala stråken: Processus accessorius (L1)L2-L3. Processus transversus Th1-Th12.   Fäste laterala stråken: Processus costarius (L1)L2-L3. Costa 1-12 mellan tuberculum costa och angulus costa.;Sacrospinala systemet: <br>Extention av bål och huvud. Ipsilateral rotation av bål och huvud. Lateralflexion av bål och huvud. Postural funktion.;;;;C1-S3 Rr. Dorsales Nn. Spinales;;images/muscles/longissimus.png
12;M. Spinalis - Sacrospinala systemet;<li>M. Spinalis capitis</li><li> M. Spinalis cervicis</li><li>M. Spinalis thoracis</li>;thoracis, cervicis, capitis (tunnast och mest medialt).;M. Spinalis capitis:<br>Processus spinosus Th1-Th2.<br><br>M. Spinalis cervicis:<br>Processus spinosus C6-C7.<br><br>M. Spinalis thoracis:<br>Processus spinosus Th11-Th12.;M. Spinalis capitis:<br>Os occipitale mellan linea nuchae superior och inferior<br><br>M. Spinalis cervicis:<br>Tuberculum posterior C1. Processus spinosus C2.<br><br>M. Spinalis thoracis:<br>Processus spinosus Th3-Th9.;Sacrospinala systemet: <br>Extention av bål och huvud. Ipsilateral rotation av bål och huvud. Lateralflexion av bål och huvud. Postural funktion.;;;;C1-S3 Rr. Dorsales Nn. Spinales;;images/muscles/spinalis.png
13;Transversospinala systemet;<li>M. Semispinalis capitis, M. Semispinalis cervicis & M. Semispinalis thoracis </li><li>M. Rotatores thoracis, M. Rotatores cervicis & M. Rotatores capitis</li><li>M. Multifidus</li>;;M. Semispinalis capitis:<br>Processus transversus C3-Th6<br><br>M. Semispinalis cervicis:<br>Processus transversus C7-Th4.<br><br>M. Semispinalis thoracis:<br>Processus transversus Th5-Th12.<br><br>M. Multifidus:<br>Facies dorsalis ossis sacri. Processus transversus (accessorius i ländryggen) L5-C6.;M. Semispinalis capitis:<br>Os occipitale mellan linea nuchae superior och inferior.<br><br>M. Semispinalis cervicis:<br>Processus spinosus C2-C7.<br><br>M. Semispinalis thoracis:<br>Processus spinosus Th1-Th6.<br><br>M. Multifidus:<br>Processus spinosus L5-C3.;;;Kontralateral rotation av bål och huvud. Lateralflexion av bål och huvud.;Extention av bål och huvud. Postural funktion.;;Mm. Rotatores:<br>Skillnaden mellan muskelgruppen och M.Multifidus är att förstnämnda endast går till processus spinosus på kotan ovanför.<br><br>M. Multifidus:<br>Triggerpunkter ger smärta lokalt. Triggerpunkter lumbalt kan ge smärta i buken.;images/muscles/transversospinala.png
14;Korta vertikala systemet;<li>Mm. Interspinales</li><li>Mm. Intertransversarii laterale lumborum, Mm. Intertransversarii mediales lumborum, Mm. Intertransversarii thoracis, Mm. Intertransversarii anteriores cervicis & Mm. Intertransversarii posteriores cervicis</li>;;;;Extention av bål och huvud. Lateralflexion av bål och huvud. Sensorisk funktion.;;;;Rami dorsalis nervi spinalis;Mm. Interspinales:<br>Lumborum, thoracis, cervicis, löper mellan processus spinosus C2-S1.<br><br>Mm. Intertransversarii laterale lumborum:<br>Löper mellan processus costarius L1-L5<br><br> Mm. Intertransversarii mediales lumborum:<br>Löper mellan processus accessorius L1-L5<br><br> Mm. Intertransversarii thoracis:<br>Löper mellan processus transversus Th1-Th12.<br><br>Mm. Intertransversarii anteriores cervicis:<br>Löper mellan tuberculum anteriora C1-C7<br><br> Mm. Intertransversarii posteriores cervicis:<br>Löper mellan tuberculum posteriora C1-C7;images/muscles/korta_vertikala.png
15;Mm. Suboccipitalis/Nackrosetten;;;M. Rectus capitis posterior minor:<br>Tuberculum posterior atlantis.<br><br>M. Rectus capitis posterior major:<br>Processus spinosus C2.<br><br>M. Rectus capitis lateralis:<br>Processus transversus atlantis.<br><br>M. Obliquus capitis superior:<br>Processus transversus atlantis.<br><br>M. Obliquus capitis inferior:<br>Processus spinosus C2.;M. Rectus capitis posterior minor:<br>Medialt på lineae nuchae inferior.<br><br>M. Rectus capitis posterior major:<br>Inferiort om linea nuchea inferior.<br><br>M. Rectus capitis lateralis:<br>Os occipitale vertikalt ovanför processus transversus atlantis.<br><br>M. Obliquus capitis superior:<br>Lateralt på linea nuchae inferior.<br><br>M. Obliquus capitis inferior:<br>Processus transversus atlantis.;M. Rectus capitis posterior minor:<br>Extention, ipsilateral rotation, lätt lateralflexion av C0-C1.<br><br>M. Rectus capitis posterior major:<br>Extention, ipsilateral rotation, lätt lateralflexion av C0-C2.<br><br>M. Rectus capitis lateralis:<br>Lateralflexion C0-C1.<br><br>M. Obliquus capitis superior:<br>Extention, lateralflexion, kontralateral rotation av C0-C1.<br><br>M. Obliquus capitis inferior:<br>Ipsilateralrotation av C1-C2.;;Ipsilateral rotation av huvudet. Lateralflexion av huvudet.;Extention av huvudet.;C1 N. Suboccipitalis;Triggerpunkter ger en diffus smärta som ett band över örat;images/muscles/suboccipitalis.png
16;M. Pectoralis major;<li>Pars clavicularis</li><li>Pars sternocostalis</li><li>Pars abdominalis</li>;Art. Humeri. Art. Thoracoscapularis. Art. Sternoclavicularis. Art. Acromioclavicularis;Pars clavicularis:<br>Claviculaes mediala 1/2.<br><br>Pars sternocostalis:<br>Övergången mellan cartilago costae och sternum i höjd med costae 2-6.<br><br>Pars abdominalis:<br>Via en flik från rectusskidan.;Crista tuberculi majoris humeri;Horisontaladduktion i art. Humeri. Inåtrotation i art. Humeri. Abduktion av scapulae.<br><br>Pars clavicularis:<br>Anteflexion i art. Humeri. Flexion i art. Humeri<br><br>Pars abdominalis:<br>Adduktion i art. Humeri. Depression av scapulae. Accessorisk andningsmuskel vid inspiration.;;;;C5-C8<br><br>Pars clavicularis:<br>C5-C6 N. Pectoralis lateralis Pl. Brachialis.<br><br>Pars sternocostalis:<br>C6-C8 N. Pectoralis lateralis Pl. Brachialis.<br><br>Pars abdominalis:<br>C8-Th1 N. Pectoralis medialis Pl.Brachialis.;Förkortad muskel kan ge upphov till cirkulationsstörningar i armen med domningar och stickningar som följd. Triggerpunkter ger smärta lokalt, ut i armen och till handens lillfingersida. Andra symptom kan vara hjärtarytmier och smärta ut i armen, som vid angina pectoris (kärlkramp).;images/muscles/pectoralis_major.png
17;M. Pectoralis minor;;Art. Thoracoscapularis. Art. Acromioclavicularis. Costovertebralleder 3-5;Costae 3-5 anteriort.;Processus coracoideus scapulae.;Depression av scapulae. Inåtrotation av scapulae. Abduktion av scapulae. Stabiliserar scapulae mot thoraxväggen. Framåttippning av scapulae ( anterior tilt);Accessorisk andningsmuskel vid inspiration.;;;C(6)7-Th1 N. Pectoralis medialis Pl. Brachialis;Om spänd eller förkortad, ge entrapment av kärl så att armen somnar. Svaghet och smärta i armarna vid arbete med armarna ovanför huvudhöjd kan ibland härledas. Triggerpunkter i muskeln kan ge smärtor i bröstregionen och stimulera angina pectoris.;images/muscles/pectoralis_minor.png
18;M. Subclavius;;Art. Sternoclavicularis. Art. Acromioclavicularis. Art. Thoracoscapularis;Cartilago costae mellan manubrium sterni och costae 1.;Undersidan på claviculaes mellersta  tredjedel;Stabiliserar art. Sternoclavicularis. Depression av claviculae. Depressions av scapulae.;;;;C5-C6 N. Subclavius Pl. Brachialis;Läget nära till nerver och kärl, gör att om den blir spänd kan den ge entrapment  med dominingar och smärta ut i armen som följd;images/muscles/subclavius.png
19;M. Serratus anterior;;Art. Thoracoscapularis. Costovertebrallederna Th1-Th9. Art. Sternoclavicularis. Art. Acromioclavicularis;Costae 1-9 lateralt på bålen;Margo medialis scapulae;Abduktion av scapulae. Depression av scapulae (nedre delen). Depression av skuldran (nedre delen). Utåtrotation av scapulae (nedre delen). Stabiliserar scapulae mot thoraxväggen tillsammans med Mm. Rhomboideii (den muskeln måste nämnas vid tentamen!). Accessorisk andningsmuskel vid inspiration. Elevation av scapulae (övre delen). Inåtrotation av scapulae (övre delen).;;;;C5-C8 N. Thoracicus longus Pl.Brachialis.;"Svaghet eller skada på nerven kan ge alata eller ""vingscapulae"". Triggerpunkter ger smärtor i sidan av bröstkorgen (inte helt olik de vid angina pectoris (kärlkramp)";images/muscles/serratus_anterior.png
20;M. Intercostalis externus;;;;;Höjer revbenen. Accessorisk inspirationsmuskel.;;;;Th1-Th11(12) Nn. Intercostalis;Ursprung och fästen inom thorax. ;images/muscles/intercostalis_ext_int.png
21;M. Intercostalis internus;;;;;Sänker revbenen. Accessorisk expirationsmuskel;;;;Th1-Th11(12) Nn. Intercostalis;Mellan samtliga revben och löper snett nedåt;images/muscles/intercostalis_ext_int.png
22;M. Levatores costarium;;;Processus transversus Th1-Th12.;Costa 2-12 mellan tuberculum costa och angulus costa.;Höjer revbenen. Accessorisk inspirationsmuskel.;;;;Th1-Th11 Nn. Intercostalis.;;images/muscles/levatores_costarium.png
23;M. Subcostales;;;;;Sänker revbenen. Accessorisk expirationsmuskel;;;;Th1-Th11 Nn. Intercostalis.;Endast dorsala delen och kan ses som en fortsättning på Mm. Intercostalis internus.;images/muscles/subcostale.png
24;M. Transversum thoracis;;;;;Sänker revbenen. Accessorisk expirationsmuskel;;;;Th1-Th8 Nn. Intercostalis;Triggerpunkter i muskeln kan ge radierande smärta längs med revbenen.;images/muscles/transversum_thoracis.png
25;M. Diaphragma;<li>Pars costalis</li><li>Pars lumbalis</li><li>Pars sternalis</li>;;Pars costalis:<br>Insidan av costa 6-12 lateralt (största delen).<br><br>Pars lumbalis:<br>Via crus dextrum och crus sinistrum anteriort på corpus vertebrae L1-L4<br><br>Pars sternalis:<br>Processus xiphoideus.;Centrum tendineum;Tryckförändring i lungsäcken, Inandning;;;;C3-C5 N. Phrenicus Pl. Cervicalis;Penetreras av: Aorta - I hiatus aorticum i höjd med Th8. Esophagus - I hiatus esophagus i höjd med Th10. V. Cava inferior - I foramen vena cava i höjd med Th12. För att sluta tätt runt musklerna finns kraftiga ligament som ligger i bågar runt musklerna och bildar arkader. Lig. arcuatum mediale sluter tätt runt M. Psoas major och bildar psoasarkaden. Lig. arcuatum laterale sluter tätt kring M. Quadratus lumborum och bildar Quadratusarkaden;images/muscles/diaphragma.png
26;M. Rectus abdominis;;Intervertebralleder i nedre bröst och ländrygg;Ventralt costa 5-7. Sternum och processus xiphoideus;Os pubis medialt;;;;Flexion av bålen. Tippar bålen bakåt. Minskar lordosen i ländryggen. Ökar det intraabdominala trycket. Minskar trycket på diskarna i ländryggen. Accessorisk andningsmuskel vid expiration;Th7-Th12 Nn. Intercostales;Innesluten i rectusskidan, som bildas av de övriga bukmusklernas fästesaponeuroser. De löper från dorsalsidan av bålen hela vägen fram till linea alba. Triggerpunkter i nedre del kan ge dysmennoré och förstärkt mensvärk hos kvinnor. Aktiva triggerpunkter kan även ge illamående och en känsla av att magen är uppsvälld.;images/muscles/rectus_abdominis.png
27;M. Pyramidalis;;;Os pubis mest mediala del;Linea alba ca. 5-10 cm ovan symfysen;Spänner upp linea alba.;;;;Nn. Intercostales;;
28;M. Obliquus externus abdominis;;Intervertebrallederna i nedre bröstrygg, ländryggen;Costae 5-12 ventralt-lateralt;Crista iliaca (labium externum). Lig. Inguinale. Linea alba/rectusskidan. Os pubis.;;;Lateralflexion av bålen. Kontralateral rotation av bålen.;Flexion av bålen. Tippar pelvis bakåt. Minskar lordosen i ländryggen. Ökar det intraabdominala trycket. Minskar trycket på diskarna i ländryggen. Accesorisk andningsmuskel vid expiration.;Th(5-6)7-Th12 Nn. Intercostalis. L1 N. Ilioinguinalis Pl. Lumbalis. L1 N. Iliohypogastricus Pl. Lumbalis.;Bålens starkaste rotatorer och lateralflexorer beroende på att muskeln är långt ifrån rörelsecentrum. Mindre vanliga triggerpunkter kan ge diarré och kräkningar.;images/muscles/obl_ext_abdominis.png
29;M. Obliquus internus abdominis;;Intervertebralleder i nedre bröst- och ländrygg;Crista iliaca (linea intermedia). Lig. Inguinale. Fascia transversalis.  ;Linea alba/rectusskidan. Costa 9-12 lateralt.;;;Lateralflexion av bålen. Ipsilateral rotation av bålen.;Flexion av bålen. Tippar pelvis bakåt. minskar lordosen i ländryggen. Ökar det intraabdominala trycket. Minskar trycket på diskarna i ländryggen. Accesorisk andningsmuskel vid expiration.;Th7-Th12 Nn. Intercostales. L1 N. Ilioinguinalis Pl. Lumbalis. L1 N. Iliohypogastricus Pl. Lumbalis.;Triggerpunkter  i muskeln kan ge smärtor till ljumske och testikel. Mindre vanliga triggerpunkter kan ge diarré och kräkningar.;images/muscles/obl_int_abdominis.png
30;M. Transversus abdominis;;Ingen större påverkan på ländryggens intevertebralleder.;Via fascia transveralis på processus costarius L1-L5. Insidan på costae 6-12. Laterala 2/3-delarna av crista iliaca labium internum. Lig. Inguinale.;Internusaponeurosen samt linea alba.;Ökar det intraabdominala trycket.;;;;Th7-Th12 Nn. Intercostalis. L1 N. Ilioinguinalis Pl. Lumbalis. L1 N. Iliohypogastricus Pl. Lumbalis.;Triggerpunkter ger smärtor till området runt solar plexus.;images/muscles/transversus_abdominis.png
31;M. Quadratus lumborum;<li>Pars iliocostalis</li><li>Pars iliolumbale</li><li>Pars lumbocostale</li>;Intervertebrallederna L1-L5. Costovertebralled 12.;Pars iliocostalis:<br>Crista iliaca labium internus. Lig. Iliolumbale.<br><br>Pars iliolumbale:<br>Crista iliaca labium internum. Lig. Iliolumbale.<br><br>Pars lumbocostale:<br>Processus costarius L1-L5.;Pars iliocostalis:<br>Costa 12 mediala 1/2.<br><br>Pars iliolumbale:<br>Processus costarius L1-L5.<br><br>Pars lumbocostale:<br>Costa 12 mediala 1/2;;;Lateralflexion av bålen. Ipsilateral rotation av ländrygg/bål.;Extention av bålen. Ökar lordosen i ländryggen. Tippar pelvis framåt. Accessorisk andningsmuskel (vid expiration). Kompression av ländrygg.;Th12 Nn. Intercostalis. L1-L3 Pl. Lumbalis.;inblandad i akuta smärttillstånd i ländryggen farmförallt vid djupa inandningar. Ska även korrigera för en eventuell benlängdsskillnad, vilket kan göra att muskeln spänner sig statiskt under långa perioder.;images/muscles/quadratus_lumborum.png
32;M. Levator Ani = M. Pubococcygeus;;;Os pubis dorsala yta;Os sacrum, os coccygis;;;;;N. Pudendus S3-4;;images/muscles/levator_ani.png
33;M. Levator Ani = M. Iliococcygeus;;;Delar av os pubis dorsala yta samt os ilium;Os sacrum, os coccygis;;;;;N. Pudendus S3-4;;images/muscles/levator_ani.png
34;M. Levator Ani = M. Coccygeus;;;Spina ischiadica;Os sacrums nedre del samt os coccygis;;;;;Pl. Sacralis S4-5;;images/muscles/levator_ani.png
35;M. Sternocleido mastoideus;<li>Pars sternalis</li><li>Pars clavicularis</li>;Intervertebralleder C0-C7;Pars sternalis:<br>Manubrium sterni.<br><br>Pars clavicularis:<br>Claviculaes mediala del.;Processus mastoideus. Linea nuchae superior.;;;Kontralateral rotation av halsrygg och huvud. Lateralflexion av halsrygg och huvud.;Flexion av nedre halsryggen C3-C7. Extention av övre halsryggen samt huvudet C0-C2. Accessorisk andningsmuskel vid inspiration.;C(1)2-C3 Pl. Cervicales N. Accesorius XI.;"Vid förkortning påverkas hållningen genom att dra huvudet framåt i så kallad ""gamnackeposition"". Triggerpunkter i muskeln kan ge huvudvärk lokaliserad till ansiktet och hjässan.";images/muscles/sternocleido_mastoideus.png
36;Mm. Scalenii;;;;;;;;;;;images/muscles/scalenus.png
37;M. Scalenus anterior;;Intervertebrallederna i halsryggen;Processus transversus (tuberculum anteriora) C3-C6;Costae 1 (tuberculi M. Scaleni anterioris).;;;Lateralflexion av halsryggen. Kontralateral rotation av halsryggen.;Flexion av halsryggen. Accessorisk andningsmuskel vid inspiration. Kompression av halsryggen.;C3-C4 Pl. Cervicalis. C5-C6 Pl. Brachialis.;Bildar tillsammans med M. Sternocleidomastoideus den främre scalenusluckan. Triggerpunkter i muskeln kan ge smärta, värk och domningar på underarmens och handens radiala sida.;images/muscles/scalenus.png
38;M. Scalenus medius;;Intervertebralleder C2-C7;Processus transversus (tuberculum posteriora) C2-C7.;Costae 1, membrana intercostalis 1.;;;Lateralflexion av halsryggen.;Lätt flexion av halsryggen. Accessorisk andningsmuskel vid inspiration. Kompression av halsryggen.;C3-C4 Pl. Cervicalis. C5-C8 Pl. Brachialis.;Bildar tillsammans med M. Scalenus anterior den bakre scalenusluckan. Triggerpunkt i muskeln kan ge upphov till smärta i axeln och armen samt stickningar i händer och fingrar.;images/muscles/scalenus.png
39;M. Scalenus posterior;;Intervertebralleder C5-C7;Processus transversus (tuberculum posteriora) C5-C7;Costae 2.;;;Lateralflexion av halsryggen. Ipsilateral rotation av halsryggen.;Extention av halsryggen. Accessorisk andningsmuskel vid inspiration. Kompression av halsryggen.;C5-C8 Pl. Brachialis;Triggerpunkter i muskeln kan ge smärtor i axeln och armen samt ge stickningar och domningar i hand och fingrar.;images/muscles/scalenus.png
40;M. Scalenus minimus;;Intervertebralleder C6-C7.;Processus transversus (tuberculum anteriora) C6-C7;Costae 1;;;Lateralflexion av halsryggen. Lätt kontralateral rotation av halsrygg.;Accessorisk andningsmuskel vid inspiration. Kompression av halsryggen.;C6-C8 Pl. Brachialis;Förekommer inte hos alla människor.;images/muscles/scalenus.png
41;Mm. Suprahyoideii;;;;;;;;;;;images/muscles/suprahyoideii.png
42;M. Digastricus venter posterior;;;Fossa digastrica;Os hyoideum;Höjer os hyoideum. Sänker mandibulae.;;;;N. Facialis (VII);Muskeln består av två bukar, venter anterior och venter posterior.;images/muscles/suprahyoideii.png
43;M. Digastricus venter anterior;;;Incisura mastoideus;Os hyoideum;Höjer os hyoideum. Sänker mandibulae.;;;;N. Trigeminus (V) nedersta gren. N. Mandibulae.;;images/muscles/suprahyoideii.png
44;M. Stylohyoideus;;;Processus styloideus;Os hyoideum;Höjer os hyoideum.;;;;N. Facialis (VII);;images/muscles/suprahyoideii.png
45;M. Mylohyoideus;;;Linea mylohyoidea mandibulae.;Os hyoideum.;Höjer os hyoideum. Sänker mandibulae.;;;;N. Trigeminus (V) nedersta gren. N. Mandibulae.;;images/muscles/suprahyoideii.png
46;M. Geniohyoideus;;;Spina mentalis mandibulae;Os hyoideum.;Höjer os hyoideum. Sänker mandibulae.;;;;N. Hypoglossus (XII);;images/muscles/suprahyoideii.png
47;Mm. Infrahyoideii;;;;;;;;;;Samtliga muskler hjälper  till vid sväljfunktionen och kan vid ett fixerat os hyoideum hjälpa till vid flexion av halsryggraden.;images/muscles/infrahyoideii.png
48;M. Sternohyoideus;;;Dorsalt cartilago costa 1. Dorsalt manubrium sterni.;Os hyoideum.;Sänker os hyoideum.;;;;C1-C3 Ansa cervicalis.;;images/muscles/infrahyoideii.png
49;M. Omohyoideus;;;Margo superior scapulae.;Os hyoideum.;Sänker os hyoideum.;;;;C1-C3 Ansa cervicalis.;;images/muscles/infrahyoideii.png
50;M. Sternothyroideus;;;Manubrium sterni posteriort.;Cartilago thyroidea.;Sänker os hyoideu via M. Thyreohyodeus;;;;C1-C3 Ansa cervicalis.;;images/muscles/infrahyoideii.png
51;M. Thyreohyoideus;;;Cartilago thyroidea;Os hyoideum.;Sänker os hyoideum.;;;;C1-C3 Ansa cervicalis.;;images/muscles/infrahyoideii.png
52;Prevertebral muskulatur;;;;;Flexion av halsryggraden. Ipsilateralrotation av halsryggraden. Lateralflexion av halsryggraden.;;;;C1-C4 Pl. Cervicalis. C5-C8 Pl. Brachialis;;images/muscles/prevertebral.png
53;M. Rectus capitis anterior;;;Massa lateralis atlantis;Anteriort om condylus occipitalis.;;;;;;;images/muscles/prevertebral.png
54;M. Longus colli;;;;;;;;;;;images/muscles/prevertebral.png
55;Mediala stråken;;;Corpus vertebrae anteriort C7-Th1 ;Corpus vertebrae anteriort  C2-C4;;;;;;;images/muscles/prevertebral.png
56;Kraniolaterala stråken;;;Tuberculum anteriora C3-C5;Tuberculum anteriora C1.;;;;;;;images/muscles/prevertebral.png
57;Kaudolaterala stråken;;;Corpus vertebrae anteriort Th1-Th3;Tuberculum anteriora C5-C7;;;;;;;images/muscles/prevertebral.png
58;M. Longus capitis;;;Tuberculum anteriora C3-C6;Basis ossis occipitalis;;;;;;;images/muscles/prevertebral.png
